词语 情感分类 强度
脏乱 nn 7
糟报 nn 5
早衰 ne 5
责备 nn 5
贼眼 nn 5
战祸 nd 5
招灾 nn 5
折辱 ne 5
中山狼 nn 5
清峻 ph 5
清莹 ph 5
轻倩 ph 5
晴丽 ph 5
求索 ph 3
热潮 ph 5
仁政 ph 5
荣名 ph 5
柔腻 ph 5
瑞雪 pa 5
擅名 pd 7
神采 pa 5
省便 ph 5
盛开 ph 5
盛誉 ph 5
诗仙 ph 7
爽脆 ph 5
素洁 ph 3
诪张 nn 5
株连 nn 7
坠毁 nb 5
滋生 nn 5
自恃 nn 5
走后门 nn 5
阻力 nn 3
罪状 nn 9
做戏 nn 7
甜头 pb 5
头名 ph 5
婉妙 ph 3
温淑 pb 1
稳厚 ph 3
沃壤 ph 5
无上 ph 5
喜人 pa 5
先贤 pd 5
鲜妍 ph 5
相称 ph 5
骁骑 ph 3
新巧 ph 5
新意 ph 5
信奉 pg 5
急智 ph 3
技艺 ph 3
雄劲 ph 3
雄肆 ph 3
秀俊 ph 5
煦煦 ph 5
勋绩 ph 5
雅淡 ph 5
雅兴 ph 5
严整 ph 5
泱泱 ph 5
怡悦 pa 5
义诊 ph 5
英发 ph 5
英伟 ph 5
莹润 ph 3
勇健 ph 3
优厚 ph 5
幽雅 ph 5
有识 ph 5
友邻 ph 5
玉人 ph 5
元勋 ph 5
佳句 ph 7
佳趣 ph 5
兼爱 ph 3
坚守 ph 7
简雅 ph 5
荐举 pg 7
见称 ph 7
见闻 ph 1
奖旗 ph 3
奖许 ph 7
姣丽 ph 5
娇丽 ph 5
骄子 ph 5
解惑 ph 3
津要 ph 5
金嗓子 ph 3
匀净 ph 3
赞词 ph 3
真纯 ph 3
箴言 ph 5
珍玩 pb 7
正理 ph 5
指导 pd 3
至理 pg 7
致敬 pd 5
智多星 ph 5
忠魂 pd 7
主力军 ph 5
准绳 ph 5
卓特 ph 7
进益 pa 5
奏凯 pa 5
尊服 pd 3
尽瘁 ph 5
精白 ph 3
精洁 ph 7
精妙 ph 5
精髓 ph 7
精要 ph 3
晶洁 ph 5
景观 ph 5
敬信 pd 7
救亡 ph 1
据实 pg 1
眷怀 pb 5
哀鸿遍野 nb 7
肮里肮脏 nn 5
冰炭不相容 nd 9
英姿飒爽 ph 9
有礼 ph 9
易如反掌 ph 9
为人正直 ph 9
心地纯良 ph 9
不成话 nn 5
昭然若揭 nn 9
有口无心 nn 9
有眼力 ph 9
不干不净 nn 3
异彩纷呈 ph 9
学富五车 ph 9
心灵美 ph 9
香馥馥 ph 9
味道好 ph 9
手脚不干净 nn 9
索然寡味 nn 9
死板板 nn 9
松垮垮 nn 9
危在旦夕 nc 9
无纪律 nn 9
无实质 nn 9
险峭 nn 1
不明不白 ne 5
不清不白 nn 7
不透明 nn 3
不雅 nn 3
不足为外人道 nn 3
有勇气 ph 9
玄妙 nn 9
长长短短 nn 3
罪恶多端 nd 9
皱巴 nd 9
朝不谋夕 nb 5
逞性子 nn 7
臭名昭彰 nn 9
寸草不生 nb 1
哀梨蒸食 nn 7
刀光剑影 nc 3
度量小 nn 7
翻云覆雨 nn 5
风刀霜剑 nb 3
腐化堕落 nn 9
高不成低不就 nn 3
孤单单 nb 5
寡断 nn 7
乖剌 nn 7
含糊不清 nn 5
毫不客气 nn 5
黑森森 nc 5
胡子拉碴 nn 3
荒诞派 nn 7
荒淫无度 nn 9
灰蒙蒙 ne 1
智能型 ph 5
晦暝 nc 7
谆谆 pd 5
昏黑 ne 3
铮亮 ph 3
鸾凤和鸣 pa 5
板脸 ne 5
抱疚 nh 3
憋着一肚子气 ne 7
愁惨 ne 5
错愕 pc 7
掉魂 ne 7
发牢骚 ne 3
烦神 ne 5
忿忿不平 na 5
惶然不安 nc 5
急死 ne 7
介意 ne 3
举棋不定 ne 5
口诛笔伐 nn 5
拉不下脸来 ne 3
骂得狗血喷头 nn 7
怒火冲天 na 7
气愤愤 na 5
歉然 nn 3
人身攻击 nn 5
数落 nn 3
痛责 nn 5
下不了台 ne 5
杏眼圆睁 ph 3
讶然失色 pc 7
怔神儿 pc 3
追悔莫及 nh 7
彷徨 ne 5
爱上 pb 5
高山仰止 pd 7
恨不得 ne 7
祭拜 pd 5
敬服 pd 5
看上眼 pb 3
梦魂萦绕 pf 7
安好 pe 1
如痴如狂 pb 7
安泰 ph 1
叹为观止 pc 7
忘乎所以 nn 5
尖嘴薄舌 nn 5
艰苦卓绝 ph 7
心如铁石 nn 7
见风转舵 nn 7
叩拜 pd 5
倍儿棒 ph 7
竭蹶 ne 7
彪壮 nd 1
博闻广识 ph 5
不动摇 ph 1
不落俗套 ph 5
可骇 nc 9
不泄气 ph 1
才气横溢 ph 7
空落落 nb 7
枯寂 nn 5
苦口 nb 7
狂恣 nn 9
老辣 nn 5
肋脦 nn 7
哩哩罗罗 nn 3
凛然 ph 7
伶仃 nb 7
令人厌倦 nn 7
碌碌无为 nn 7
马马虎虎 nn 5
莽莽撞撞 nn 5
没骨头 nn 7
没两下子 nn 7
没心眼儿 nn 3
迷糊 ne 5
模棱两可 nn 5
少见多怪 nn 3
难上难 ne 5
一塌糊涂 nn 9
只顾自身利益 nn 9
一个心眼儿 ph 9
一级 ph 9
有头脑 ph 9
欣欣向荣 ph 9
难驯服 nn 3
闹闹嚷嚷 nn 7
贫寒 nb 3
铺张浪费 nn 7
奇丑无比 nn 9
气壮如牛 ph 3
清苦 nb 5
穷途潦倒 nn 7
缺乏幽默 nn 5
弱智 nn 9
色迷迷 nn 9
傻里傻气 nn 5
神不知，鬼不觉 nn 3
失落 na 7
食古不化 nn 7
喧天 ne 9
丰姿绰约 ph 5
捉摸不定 nn 9
特等 pa 5
肝胆过人 ph 3
高档化 ph 3
高深莫测 ph 1
革命性 ph 3
功德无量 ph 7
古朴 pb 3
过得硬 ph 3
很有抱负 ph 5
数一数二 ph 7
花容月貌 ph 5
受吃 pb 3
史无前例 ph 7
圣礼 pd 9
滑天下之大稽 nn 7
生死不渝 ph 7
深入人心 ph 5
擅场 ph 9
上赶 nn 7
井然有序 ph 5
举足轻重 ph 5
人寿年丰 ph 7
俊俏 ph 5
确凿无疑 pg 9
确定 pg 9
老成练达 ph 3
鼠胆 nn 9
强势 ph 1
浅显 nn 1
心胸狭隘 nn 9
性格内向 nn 9
千姿百态 ph 7
气度恢宏 ph 9
起眼儿 ph 1
越轨 nn 9
令人大开眼界 ph 3
完美无疵 ph 9
朴实无华 ph 3
无上光荣 ph 9
有嘴无心 ph 9
逸乐 ph 9
心宽 ph 9
无污染 ph 9
无拘束 ph 9
闻过则喜 ph 9
谈吐不俗 ph 9
名副其实 ph 5
喷香 pb 3
哀莫大于心死 nb 9
安邦定国 ph 9
金瓯无缺 ph 7
我武惟扬 ph 9
乃心王室 ph 9
尽忠报国 ph 9
杀身报国 ph 9
忧国忘身 ph 9
济世经邦 ph 9
兴利除弊 ph 9
猫鼠同处 nd 9
四海鼎沸 ne 7
出疆载质 nn 9
委国听令 nn 9
国步艰难 nb 7
立国安邦 ph 9
溽热 nn 1
欢快 pa 5
如意 pa 3
得志 pa 3
好日子 ph 5
欢娱 pa 5
庆幸 pa 3
喜气 pa 5
兴高采烈 pa 7
快意 pa 5
艳福 pa 5
乐陶陶 pa 5
逗人 pa 5
眉开眼笑 pa 5
笑逐言开 pa 5
距跃三百 pa 7
鹊笑鸠舞 pa 7
神采飞扬 pa 5
忍俊不禁 pa 5
嫣然 pa 5
笑噱 pa 5
和颜悦色 pa 5
胡敲梆子乱击磬－欢喜若狂 pa 9
新媳妇怀孕－暗喜 pa 5
侥幸 pa 3
五世其昌 pk 5
安乐窝 pa 3
偏爱 pb 7
挂牵 pb 3
偏疼 nn 3
娇惯 nn 5
流连 pb 5
顾惜 pb 3
垂爱 pb 5
乐此不疲 pb 5
兴味 pb 3
稀罕 pb 5
一见钟情 pb 7
挺拔 ph 5
歆慕 pb 3
心动 pb 3
温顺 ph 1
不忍释手 pb 7
眷注 pb 3
束身自修 pb 1
难舍难分 pb 5
老牛舔犊 pb 7
渴望 pk 7
热望 pk 5
乖乖 pb 5
和暖 ph 3
温软 ph 1
温情脉脉 pb 5
可口 ph 1
奇妙 pc 5
尊崇 pd 9
崇敬 pd 7
称颂 ph 5
传颂 ph 5
颂扬 pd 7
先烈 pf 3
恭谨 pd 5
万寿无疆 pk 5
福寿年高 pk 3
老前辈 pd 5
从善如流 ph 5
尊贵 pd 5
拜恳 pk 3
鼻祖 pd 7
和婉 ph 3
怡和 pa 3
和顺 ph 5
娴静 pe 1
安逸 pa 3
安居乐业 pe 5
安适 pe 5
思念 pf 5
望眼欲穿 pf 9
引人深思 pf 3
妥靠 pg 3
铁定 pg 9
